TBLID,GEOID,GEONAME,PROFLN,TITLE,ESTIMATE_1,MG_ERROR_1,ESTIMATE_2,MG_ERROR_2,ESTIMATE_3,MG_ERROR_3,ESTIMATE_4,MG_ERROR_4,ESTIMATE_5,MG_ERROR_5,ESTIMATE_6,MG_ERROR_6,ESTIMATE_7,MG_ERROR_7,ESTIMATE_8,MG_ERROR_8,OCC_CODE,OCC_DESCRIPTION
EEOALL10W,,,0,"EEO 10w. Detailed Census Occupation by Older Age Groups, Sex, and Race/Ethnicity for Worksite Geography, Total Population",,,,,,,,,,,,,,,,,,
EEOALL10W,,,0.3,,,,,,"Not Hispanic or Latino, one race","Not Hispanic or Latino, one race","Not Hispanic or Latino, one race","Not Hispanic or Latino, one race","Not Hispanic or Latino, one race","Not Hispanic or Latino, one race","Not Hispanic or Latino, one race","Not Hispanic or Latino, one race","Not Hispanic or Latino, one race","Not Hispanic or Latino, one race",,,,
EEOALL10W,,,0.4,,"Total, race and ethnicity","Total, race and ethnicity",Hispanic or Latino,Hispanic or Latino,White alone,White alone,Black or African American alone,Black or African American alone,American Indian and Alaska Native alone,American Indian and Alaska Native alone,Asian alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Native Hawaiian and Other Pacific Islander alone,Balance of not Hispanic or Latino,Balance of not Hispanic or Latino,,
EEOALL10W,C2100US,United States - Place of Work,0.8,16 to 39 years,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,1,Number,"68,610,355","+/-66,052","13,976,895","+/-19,277","39,933,180","+/-51,850","8,286,405","+/-17,518","381,800","+/-3,841","4,051,985","+/-10,626","129,835","+/-2,464","1,850,250","+/-17,574",0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,2,Percent,45.9,+/-0.1,9.4,+/-0.1,26.7,+/-0.1,5.5,+/-0.1,0.3,+/-0.1,2.7,+/-0.1,0.1,+/-0.1,1.2,+/-0.1,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,3,Number,"36,110,105","+/-32,685","7,936,235","+/-15,150","20,978,745","+/-26,355","3,869,560","+/-13,198","191,750","+/-2,650","2,137,605","+/-8,249","68,990","+/-1,930","927,220","+/-10,770",0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,4,Percent,24.2,+/-0.1,5.3,+/-0.1,14,+/-0.1,2.6,+/-0.1,0.1,+/-0.1,1.4,+/-0.1,0,+/-0.1,0.6,+/-0.1,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,5,Number,"32,500,250","+/-45,994","6,040,660","+/-12,812","18,954,435","+/-32,101","4,416,850","+/-10,089","190,050","+/-2,567","1,914,380","+/-7,409","60,845","+/-1,451","923,035","+/-9,580",0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,6,Percent,21.7,+/-0.1,4,+/-0.1,12.7,+/-0.1,3,+/-0.1,0.1,+/-0.1,1.3,+/-0.1,0,+/-0.1,0.6,+/-0.1,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,6.8,40 to 44 years,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,6.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,7,Number,"15,470,080","+/-32,612","2,991,385","+/-11,927","9,170,190","+/-22,437","1,816,480","+/-11,001","85,550","+/-1,678","1,096,360","+/-6,028","27,400","+/-1,207","282,720","+/-4,919",0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,8,Percent,10.4,+/-0.1,2,+/-0.1,6.1,+/-0.1,1.2,+/-0.1,0.1,+/-0.1,0.7,+/-0.1,0,+/-0.1,0.2,+/-0.1,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,8.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,9,Number,"8,276,920","+/-22,945","1,729,300","+/-8,792","4,932,940","+/-15,837","836,930","+/-8,119","42,775","+/-1,142","573,665","+/-4,025","14,145",+/-821,"147,170","+/-3,122",0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,10,Percent,5.5,+/-0.1,1.2,+/-0.1,3.3,+/-0.1,0.6,+/-0.1,0,+/-0.1,0.4,+/-0.1,0,+/-0.1,0.1,+/-0.1,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,10.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,11,Number,"7,193,155","+/-18,023","1,262,080","+/-6,259","4,237,245","+/-13,113","979,550","+/-6,764","42,775","+/-1,122","522,695","+/-4,172","13,255",+/-809,"135,555","+/-3,148",0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,12,Percent,4.8,+/-0.1,0.8,+/-0.1,2.8,+/-0.1,0.7,+/-0.1,0,+/-0.1,0.3,+/-0.1,0,+/-0.1,0.1,+/-0.1,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,12.8,45 to 49 years,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,12.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,13,Number,"16,016,135","+/-21,144","2,671,930","+/-6,939","10,179,415","+/-16,351","1,812,635","+/-5,621","81,625","+/-1,491","997,365","+/-4,069","23,730","+/-1,048","249,430","+/-3,790",0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,14,Percent,10.7,+/-0.1,1.8,+/-0.1,6.8,+/-0.1,1.2,+/-0.1,0.1,+/-0.1,0.7,+/-0.1,0,+/-0.1,0.2,+/-0.1,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,14.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,15,Number,"8,456,450","+/-12,028","1,510,080","+/-3,964","5,420,175","+/-8,958","834,630","+/-4,361","40,470",+/-891,"513,795","+/-2,816","11,610",+/-605,"125,695","+/-2,312",0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,16,Percent,5.7,+/-0.1,1,+/-0.1,3.6,+/-0.1,0.6,+/-0.1,0,+/-0.1,0.3,+/-0.1,0,+/-0.1,0.1,+/-0.1,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,16.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,17,Number,"7,559,685","+/-13,131","1,161,850","+/-5,119","4,759,245","+/-10,422","978,010","+/-4,277","41,155","+/-1,123","483,570","+/-2,810","12,120",+/-698,"123,735","+/-2,535",0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,18,Percent,5.1,+/-0.1,0.8,+/-0.1,3.2,+/-0.1,0.7,+/-0.1,0,+/-0.1,0.3,+/-0.1,0,+/-0.1,0.1,+/-0.1,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,18.8,50 to 54 years,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,18.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,19,Number,"16,103,070","+/-26,640","2,222,975","+/-7,534","10,953,370","+/-17,467","1,741,415","+/-6,814","83,630","+/-1,570","866,860","+/-4,013","22,550",+/-958,"212,275","+/-3,671",0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,20,Percent,10.8,+/-0.1,1.5,+/-0.1,7.3,+/-0.1,1.2,+/-0.1,0.1,+/-0.1,0.6,+/-0.1,0,+/-0.1,0.1,+/-0.1,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,20.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,21,Number,"8,414,435","+/-14,334","1,246,100","+/-4,288","5,763,755","+/-10,447","800,800","+/-4,322","41,415","+/-1,087","445,430","+/-2,411","10,870",+/-605,"106,065","+/-2,430",0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,22,Percent,5.6,+/-0.1,0.8,+/-0.1,3.9,+/-0.1,0.5,+/-0.1,0,+/-0.1,0.3,+/-0.1,0,+/-0.1,0.1,+/-0.1,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,22.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,23,Number,"7,688,635","+/-15,055","976,875","+/-5,346","5,189,610","+/-9,255","940,615","+/-4,953","42,215",+/-968,"421,430","+/-2,898","11,680",+/-644,"106,215","+/-2,415",0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,24,Percent,5.1,+/-0.1,0.7,+/-0.1,3.5,+/-0.1,0.6,+/-0.1,0,+/-0.1,0.3,+/-0.1,0,+/-0.1,0.1,+/-0.1,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,24.8,55 to 59 years,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,24.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,25,Number,"14,659,210","+/-31,598","1,627,780","+/-7,113","10,581,570","+/-24,426","1,462,330","+/-9,066","73,385","+/-1,556","718,445","+/-5,091","19,495",+/-879,"176,190","+/-3,153",0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,26,Percent,9.8,+/-0.1,1.1,+/-0.1,7.1,+/-0.1,1,+/-0.1,0,+/-0.1,0.5,+/-0.1,0,+/-0.1,0.1,+/-0.1,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,26.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,27,Number,"7,600,230","+/-17,347","899,835","+/-5,072","5,537,690","+/-13,849","664,275","+/-5,367","35,035","+/-1,012","364,245","+/-3,545","10,245",+/-641,"88,900","+/-2,010",0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,28,Percent,5.1,+/-0.1,0.6,+/-0.1,3.7,+/-0.1,0.4,+/-0.1,0,+/-0.1,0.2,+/-0.1,0,+/-0.1,0.1,+/-0.1,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,28.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,29,Number,"7,058,980","+/-18,606","727,950","+/-5,262","5,043,880","+/-14,255","798,055","+/-6,659","38,355","+/-1,076","354,200","+/-3,273","9,250",+/-564,"87,290","+/-2,006",0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,30,Percent,4.7,+/-0.1,0.5,+/-0.1,3.4,+/-0.1,0.5,+/-0.1,0,+/-0.1,0.2,+/-0.1,0,+/-0.1,0.1,+/-0.1,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,30.8,60 to 69 years,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,30.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,31,Number,"15,327,050","+/-27,734","1,371,085","+/-7,329","11,592,825","+/-19,597","1,375,545","+/-8,243","68,435","+/-1,523","742,350","+/-5,981","16,185",+/-883,"160,630","+/-2,369",0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,32,Percent,10.3,+/-0.1,0.9,+/-0.1,7.8,+/-0.1,0.9,+/-0.1,0,+/-0.1,0.5,+/-0.1,0,+/-0.1,0.1,+/-0.1,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,32.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,33,Number,"8,097,815","+/-17,477","769,240","+/-5,979","6,193,565","+/-13,583","623,895","+/-4,662","33,145","+/-1,112","387,650","+/-4,061","8,240",+/-653,"82,070","+/-1,609",0,"Total, all occupations"
